City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Rawson,AR,-43.3002,-65.1023,42.84,42,0,26.4,clear sky
313,Surt,LY,31.2089,16.5887,77.74,70,0,7.45,clear sky
314,Nanortalik,GL,60.1432,-45.2371,49.44,87,21,13.56,few clouds
315,Oranjemund,NA,-28.55,16.4333,51.4,81,0,14.32,clear sky
316,Tandalti,SD,13.0167,31.8667,71.92,83,100,15.3,light rain
317,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,4.61,scattered clouds
318,Arroyo,ES,41.6096,-4.7969,68.14,70,0,5.75,clear sky
319,Lompoc,US,34.6391,-120.4579,85.78,72,0,10.36,clear sky
320,Moosomin,CA,50.1333,-101.6677,62.91,77,0,7.78,clear sky
321,San-Pedro,CI,4.7485,-6.6363,74.41,71,99,7.05,overcast clouds
322,Saldanha,ZA,-33.0117,17.9442,50.67,71,0,7.18,clear sky
323,Sisimiut,GL,66.9395,-53.6735,49.98,88,100,8.39,light rain
324,Faya,SA,18.3851,42.4509,66.31,50,97,6.49,overcast clouds
325,Mezen,RU,65.8522,44.24,58.95,77,0,6.35,clear sky
326,Turinskaya Sloboda,RU,57.6232,64.3858,58.78,85,76,8.63,broken clouds
327,Akyab,MM,20.15,92.9,83.5,79,100,5.68,overcast clouds
328,Aklavik,CA,68.2191,-135.0107,65.97,46,100,10.74,overcast clouds
329,Prince George,CA,53.9166,-122.753,79.25,33,0,6.91,clear sky
330,Lodja,CD,-3.4833,23.4333,75.54,59,89,0.81,overcast clouds
331,Azangaro,PE,-14.9167,-70.2167,38.95,34,100,1.19,overcast clouds
332,Hami,CN,42.8,93.45,72.25,37,19,1.66,few clouds
333,Sumbe,AO,-11.2061,13.8437,67.6,89,89,4.56,overcast clouds
334,Lorengau,PG,-2.0226,147.2712,84.56,67,77,4.94,heavy intensity rain
335,Constitucion,CL,-35.3333,-72.4167,50.74,90,2,5.66,clear sky
336,Cabadiangan,PH,9.7531,122.4739,85.87,72,93,1.83,overcast clouds
337,Nouadhibou,MR,20.931,-17.0347,69.78,94,20,5.75,few clouds
338,Irbeyskoye,RU,55.6428,95.4522,63.5,66,100,4.92,overcast clouds
339,Juneau,US,58.3019,-134.4197,53.22,95,100,11.5,light rain
340,Paka,MY,4.6374,103.4368,81.28,79,95,3.38,heavy intensity rain
341,Campos,BR,-21.75,-41.3,65.21,97,1,5.84,clear sky
342,Namatanai,PG,-3.6667,152.4333,84.22,69,56,5.68,light rain
343,Uyuni,BO,-20.4597,-66.825,45.99,34,16,5.08,few clouds
344,Bay Roberts,CA,47.5999,-53.2648,65.34,90,100,14.0,overcast clouds
345,Mugumu,TZ,-1.85,34.7,55.63,75,28,3.87,scattered clouds
346,Toamasina,MG,-18.1667,49.3833,71.6,88,75,9.22,broken clouds
